date,code,side,shares,price,commission,realized_pnl
2017-01-05,83340,buy,100,675.675,37.162125,
2017-01-05,67400,buy,200,353.35299999999995,38.868829999999996,
2017-01-10,36720,buy,100,695.6949999999999,38.263225000000006,
2017-01-16,83340,sell,100,630.369,34.670295,-4565.270294999993
2017-01-16,67400,sell,200,330.669,36.37359000000001,-4573.173589999994
2017-01-19,36720,sell,100,695.304,38.24172,-77.34172000000764
2017-01-24,67530,buy,300,305.30499999999995,50.375325,
2017-01-26,92020,buy,300,330.33,54.504450000000006,
2017-01-27,52330,buy,200,403.40299999999996,44.37433,
2017-02-01,38100,buy,100,874.8739999999999,48.11807,
2017-02-01,67530,sell,300,299.7,49.450500000000005,-1730.9504999999883
2017-02-06,36320,buy,100,650.65,35.78575,
2017-02-07,80020,buy,100,696.6959999999999,38.318279999999994,
2017-02-07,92020,sell,300,331.668,54.72522000000001,346.67478000000665
2017-02-14,36320,sell,100,673.326,37.03293000000001,2230.5670700000046
2017-02-16,80020,sell,100,724.7745,39.8625975,2767.9874025000076
2017-02-20,67530,buy,300,336.33599999999996,55.495439999999995,
2017-02-20,38100,sell,100,841.158,46.263690000000004,-3417.8636899999897
2017-02-21,52330,sell,200,409.59,45.0549,1192.3451000000023
2017-02-22,40430,buy,100,573.573,31.546515,
2017-02-24,45760,buy,100,663.6629999999999,36.501464999999996,
2017-02-28,57070,buy,100,582.5819999999999,32.04201,
2017-02-28,40430,sell,100,536.463,29.505465,-3740.5054650000015
2017-03-02,52330,buy,200,418.41799999999995,46.02598,
2017-03-03,53010,buy,100,512.512,28.18816,
2017-03-06,45760,sell,100,679.32,37.3626,1528.3374000000154
2017-03-07,52020,buy,100,867.8669999999998,47.732685,
2017-03-08,57070,sell,100,579.42,31.8681,-348.0680999999921
2017-03-10,52330,sell,200,407.592,44.835119999999996,-2210.035119999993
2017-03-14,53010,sell,100,504.495,27.747225,-829.4472249999939
2017-03-15,36720,buy,100,984.9839999999999,54.17412,
2017-03-15,67270,buy,200,448.448,49.32928,
2017-03-15,52020,sell,100,867.132,47.692260000000005,-121.19225999999
2017-03-16,41880,buy,100,860.8599999999999,47.3473,
2017-03-17,37820,buy,100,1070.069,58.853795,
2017-03-21,37820,sell,100,850.149,46.758195,-22038.758194999995
2017-03-23,41880,sell,100,838.9602,46.142811,-2236.1228109999915
2017-03-24,67270,sell,200,412.587,45.38457,-7217.584569999998
2017-03-27,69970,buy,200,368.36799999999994,40.52048,
2017-03-27,36720,sell,100,977.022,53.73621000000001,-849.9362099999876
2017-03-28,18330,buy,100,723.723,39.804764999999996,
